model,market_share,competitor,trend
F-150,24.5,Chevrolet Silverado,1.2
F-150,24.5,Ram 1500,-0.5
F-150,24.5,Toyota Tundra,0.3
Escape,12.8,Toyota RAV4,1.8
Escape,12.8,Honda CR-V,1.2
Escape,12.8,Chevrolet Equinox,-0.2
Explorer,15.3,Toyota Highlander,0.7
Explorer,15.3,Jeep Grand Cherokee,0.4
Explorer,15.3,Honda Pilot,-0.1
Bronco,18.2,Jeep Wrangler,-0.8
Bronco,18.2,Toyota 4Runner,0.5
Bronco,18.2,Land Rover Defender,1.3
Mustang,35.6,Chevrolet Camaro,-1.5
Mustang,35.6,Dodge Challenger,-0.9
Mustang,35.6,Porsche 911,0.8
F-150,24.5,Nissan Titan,-1.1
Escape,12.8,Mazda CX-5,1.5
Explorer,15.3,Kia Telluride,2.1
Bronco,18.2,Subaru Outback,0.2
Mustang,35.6,BMW 4 Series,0.6
F-150,24.5,GMC Sierra,0.9
Escape,12.8,Volkswagen Tiguan,0.4
Explorer,15.3,Hyundai Palisade,1.8
Bronco,18.2,Ford Bronco Sport,2.5
Mustang,35.6,Audi A5,-0.3
