vin,model,trim,color,msrp,value,days_on_lot
1FTFW1E82MFA12345,F-150,Lariat,Oxford White,58995,56500,12
1FTFW1E85MFA23456,F-150,XLT,Agate Black,49995,47500,25
1FTFW1E88MFA34567,F-150,Limited,Velocity Blue,72995,69800,45
1FTFW1E81MFA45678,F-150,Platinum,Antimatter Blue,65995,62500,78
1FTFW1E84MFA56789,F-150,King Ranch,Star White,64995,61800,105
2FMPK4J92MBA12345,Escape,SE,Rapid Red,32995,31500,15
2FMPK4J95MBA23456,Escape,SEL,Atlas Blue,36995,35200,28
2FMPK4J98MBA34567,Escape,Titanium,Desert Gold,42995,40800,42
2FMPK4J91MBA45678,Escape,Titanium Hybrid,Iconic Silver,45995,43600,65
2FMPK4J94MBA56789,Escape,SE Hybrid,Star White,35995,34200,92
1FMSK8DH3MGB12345,Explorer,XLT,Carbonized Gray,45995,43700,8
1FMSK8DH6MGB23456,Explorer,Limited,Iconic Silver,54995,52200,22
1FMSK8DH9MGB34567,Explorer,ST,Agate Black,58995,56000,35
1FMSK8DH2MGB45678,Explorer,Platinum,Star White,63995,60800,58
1FMSK8DH5MGB56789,Explorer,King Ranch,Rapid Red,64995,61700,85
3FMTK1RM8MBA12345,Bronco,Big Bend,Cactus Gray,42995,40800,5
3FMTK1RM1MBA23456,Bronco,Outer Banks,Velocity Blue,48995,46500,18
3FMTK1RM4MBA34567,Bronco,Badlands,Area 51,56995,54100,32
3FMTK1RM7MBA45678,Bronco,Wildtrak,Cyber Orange,59995,57000,55
3FMTK1RM0MBA56789,Bronco,First Edition,Shadow Black,64995,61700,75
1FA6P8CF0M5A12345,Mustang,EcoBoost,Race Red,32995,31300,10
1FA6P8CF3M5A23456,Mustang,GT,Oxford White,42995,40800,30
1FA6P8CF6M5A34567,Mustang,Mach 1,Grabber Yellow,56995,54100,50
1FA6P8CF9M5A45678,Mustang,GT Premium,Antimatter Blue,49995,47500,80
1FA6P8CF2M5A56789,Mustang,Shelby GT500,Twister Orange,79995,76000,110
